FECHA (YYMMDD),HORA (HHMM),Registros validados,Registros preliminares,Registros no validados,Unnamed: 5
240113,0,,6.0,,
240114,0,,4.0,,
240115,0,,4.0,,
240116,0,,5.0,,
240117,0,,5.0,,
240118,0,,6.0,,
240119,0,,7.0,,
240120,0,,9.0,,
240121,0,,6.0,,
240122,0,,5.0,,
240123,0,,4.0,,
240124,0,,3.0,,
240125,0,,4.0,,
240126,0,,4.0,,
240127,0,,6.0,,
240128,0,,6.0,,
240129,0,,5.0,,
240130,0,,6.0,,
240131,0,,5.0,,
240201,0,,3.0,,
240202,0,,7.0,,
240203,0,,5.0,,
240204,0,,3.0,,
240205,0,,3.0,,
240206,0,,6.0,,
240207,0,,6.0,,
240208,0,,7.0,,
240209,0,,5.0,,
240210,0,,6.0,,
240211,0,,8.0,,
240212,0,,8.0,,
240213,0,,7.0,,
240214,0,,8.0,,
240215,0,,7.0,,
240216,0,,9.0,,
240217,0,,6.0,,
240218,0,,5.0,,
240219,0,,7.0,,
240220,0,,6.0,,
240221,0,,6.0,,
240222,0,,10.0,,
240223,0,,16.0,,
240224,0,,15.0,,
240225,0,,7.0,,
240226,0,,5.0,,
240227,0,,8.0,,
240228,0,,8.0,,
240229,0,,11.0,,
240301,0,,8.0,,
240302,0,,13.0,,
240303,0,,12.0,,
240304,0,,31.0,,
240305,0,,24.0,,
240306,0,,11.0,,
240307,0,,20.0,,
240308,0,,20.0,,
240309,0,,14.0,,
240310,0,,10.0,,
240311,0,,26.0,,
240312,0,,11.0,,
240313,0,,21.0,,
240314,0,,12.0,,
240315,0,,16.0,,
240316,0,,11.0,,
240317,0,,,4.0,
240318,0,,,2.0,
240319,0,,,2.0,
240320,0,,,8.0,
240321,0,,25.0,,
240322,0,,,57.0,
240323,0,,,46.0,
240324,0,,24.0,,
240325,0,,23.0,,
240326,0,,9.0,,
240327,0,,16.0,,
240328,0,,24.0,,
240329,0,,12.0,,
240330,0,,19.0,,
240331,0,,21.0,,
240401,0,,17.0,,
240402,0,,32.0,,
240403,0,,18.0,,
240404,0,,10.0,,
240405,0,,10.0,,
240406,0,,9.0,,
240407,0,,14.0,,
240408,0,,25.0,,
240409,0,,35.0,,
240410,0,,98.0,,
240411,0,,175.0,,
240412,0,,121.0,,
240413,0,,149.0,,
240414,0,,77.0,,
240415,0,,39.0,,
240416,0,,14.0,,
240417,0,,20.0,,
240418,0,,38.0,,
240419,0,,16.0,,
240420,0,,28.0,,
240421,0,,100.0,,
240422,0,,104.0,,
240423,0,,71.0,,
240424,0,,70.0,,
240425,0,,39.0,,
240426,0,,26.0,,
240427,0,,18.0,,
240428,0,,25.0,,
240429,0,,32.0,,
240430,0,,32.0,,
240501,0,,63.0,,
240502,0,,53.0,,
240503,0,,48.0,,
240504,0,,36.0,,
240505,0,,31.0,,
240506,0,,82.0,,
240507,0,,85.0,,
240508,0,,50.0,,
240509,0,,74.0,,
240510,0,,77.0,,
